"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vwp_wane_rate","Vap_wane_rate","Vn_wane_rate","rec_rate","Vwp_fail_rate","Vwp_symptom_rate","Vap_fail_rate","Vap_symptom_rate","Vn_fail_rate","Vn_symptom_rate","beta0","beta1","beta_mod_Awp","beta_mod_Aap","beta_mod_An","rho","sigmaSE","lag","S_0","I_0","Vwp_0","Vap_0","Vn_0","Awp_0","Aap_0","An_0"
"US","none.equal","all","two.weeks",1854,-5921.08325156441,0.869675944415894,2.52501825004367e-05,0.000581089545309867,5.03949870712213e-05,0.0391986873203914,0.969885861480861,0.125801375408065,0.198058567000345,0.982354364827598,0.990631988957542,0.954183045669209,0.0453715297049961,0.198148728629068,0.000829453045390702,0.00531189210577917,0.021469223007532,4.56639720067794e-05,1.0317042167059,0.284875572567547,0.0679673198852682,0.0443891822861508,0.250028983602771,0.0726968479739894,0.0502559689944614,0.134933634537834,0.108666798306462,0.271061264413063
"US","none.equal","all","two.weeks",411,-6177.94435575157,6.6649468771506,0.000207281861391072,0.00196799479147397,8.78835308269142e-06,0.0570127324818633,0.547828268887731,0.00106314179051688,0.0005441784387537,0.905626854872441,0.636789832906294,0.9398145303125,0.0932778151379611,0.0862579724060203,0.0366571102835496,0.150807322484528,0.770019813839159,0.000141392574823878,0.999698788823077,0.9895854134747,0.0682167634321656,0.103774089820982,0.166987735831845,0.193560090089024,0.143838919398401,0.147248548479925,0.128656297282552,0.0477175556651055
"US","none.equal","all","two.weeks",182,-6040.16034826746,2.47150632272902,3.28319840536755e-06,0.000442663045659133,0.00861325583610217,0.0340640375228344,0.0190138212372692,0.0840738185438613,0.105418290785138,0.999829732760543,0.0292247277518128,0.16449408907136,0.0498459409785837,0.0861688650894474,0.00709478294917652,0.00381477769765753,0.306735493221348,0.000150781603479556,1.19739396862496,0.42083682155894,0.138041896193568,0.122373965688625,0.0118273760854333,0.20397001070758,0.212205936228501,0.109420440690957,0.057446579129108,0.144713795276229
"US","none.equal","all","two.weeks",1055,-6161.05403121879,5.03155397276709,0.00181754511537767,0.00012897121754552,0.00707265238429031,0.0636246737864218,0.0163867379849218,0.0902047479937641,0.943033539641382,0.011508956534293,0.209518258027606,0.0219622294635289,0.0707028315728961,0.116622214387148,0.00539062234474784,0.25810966094053,0.0818919534706021,0.00287253048871941,0.795714083297671,0.241229408731509,0.0535253677313821,0.004300086424223,0.116937378675231,0.244189817664996,0.09313829257731,0.22522583852769,0.104175543025829,0.158507675373339
"US","none.equal","all","two.weeks",1146,-6080.03775518858,30.6158809103072,2.59971488117595e-05,0.000140351253466029,0.000107126117990068,0.022695885499699,0.852653979074874,0.0830526909714093,0.386079449862317,0.164474837276111,0.922202995390253,0.836101538281275,0.0318464947191202,0.458766508807615,0.000725836052752074,0.0397021965461084,0.781190138186898,8.28004960941422e-05,1.38166268242959,0.371350609133252,0.0748372265721981,0.201572684229436,0.113976977281802,0.191578474048429,0.066991687459686,0.115260598685261,0.130149999494634,0.105632352228553
"US","none.equal","all","two.weeks",404,-6218.15211670063,3.50140325680203,0.0001388295596296,0.000118260824933883,0.0302459319861727,0.0277221418598387,0.0299807424661682,0.993946003838175,0.823176534652411,0.680639890100985,0.255758837125277,0.0721925717656844,0.034143097981351,0.260262956331884,0.00792937224553913,0.908080981120999,0.102460768654719,0.000125372497909097,1.18163850546065,0.324683892269211,0.192009896775402,0.275284629965206,0.137046548650994,0.0338779917979646,0.109098255995209,0.00114640218868233,0.066679712437662,0.18485656218888
"US","none.equal","all","two.weeks",535,-6023.08257815239,4.32191942969511,0.0465430315988458,0.0684844241881347,0.00426865939706166,0.0299639912939993,0.535767784431681,0.993968980216761,0.0612877741836573,0.100572390834549,0.681258522493116,0.232354019862426,0.0317167902748171,0.208500682788242,0.0023027584732221,0.290708072042856,0.992592617204784,0.000173731382941995,1.11344191662309,0.302012916862724,0.112868246020459,0.0617804587912123,0.111442950321461,0.165385112087785,0.126364964176581,0.210078445099014,0.181973425841904,0.0301063976615834
"US","none.equal","all","two.weeks",895,-6121.14247890343,0.89788381007761,0.00044662978895117,0.0027998429016704,0.000300631186957499,0.0042402444583761,0.956768704038331,0.0454474707025572,0.730222587408343,0.156502679264342,0.0447853313463898,0.107123058371771,0.00856011347821221,0.251759812903866,0.0276301010713242,0.0598358503214763,0.271339761136261,0.00101840726920879,1.73643135976068,0.438838708915088,0.0339100300882691,0.193591727970042,0.145219756485037,0.00179432760447056,0.0477752461444231,0.19497737332959,0.251610709964699,0.13112082841347
"US","none.equal","all","two.weeks",604,-6038.22755394716,4.18615925549001,0.0116595027176486,0.000172233747190036,0.00280712773289834,0.0126223641323385,0.505264748513513,0.174746425439446,0.981074176574485,0.938243162118798,0.929608587331368,0.932509898012842,0.0147341756785431,0.307392029343879,0.889133252911602,0.164610356310478,0.0874067313600693,0.000212224282612644,1.27950928461671,0.393954526362913,0.0825541461634956,0.0374377395693874,0.323688795158219,0.0409777436601364,0.305389163278057,0.0405098803246914,0.162943071389837,0.00649946045617563
"US","none.equal","all","two.weeks",913,-6161.92827684315,5.04941268873897,0.00914550965694307,0.000183861841679204,7.08052217813984e-05,0.00631229551460428,0.951626238436437,0.052117448233257,0.686994357652221,0.251766674761658,0.994773514684946,0.984229967165848,0.00785151066026865,0.474052359112799,0.57554680780233,0.530697475806561,0.142737986383031,0.000241378629508933,1.46730880557643,0.389686172958355,0.00816675566651062,0.0329881220814833,0.110686722680242,0.1985087860781,0.248359164177729,0.100743869255471,0.0257232291761227,0.274823350884341
"US","none.equal","all","two.weeks",1566,-6097.63991505023,7.43307970304854,0.0417000627951698,0.000895420463519113,0.00779096996861516,0.044349614492251,6.34793133142155e-05,0.0846597198070353,0.509691239498074,0.778440306732496,0.578855888014384,0.890665918632239,0.0486400367827823,0.129810525541186,0.114545257915663,0.0693146290172113,0.00389054824432961,6.67571294466943e-05,1.03591412360584,0.367772028482264,0.200369360366456,0.188145865032039,0.0779092921795691,0.00831870878664182,0.172823359143075,0.144630451291054,0.0520335015375922,0.155769461663574
