"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","V_wane_rate","rec_rate","V_fail_rate","V_symptom_rate","beta0","beta1","beta_mod_A","rho","sigmaSE","lag","S_0","I_0","A_0","V_0"
"US","all.equal","all","two.weeks",53,-5846.79604088118,3.00518285877486,0.0882349216277821,0.0579314511303134,0.222983638175931,0.00481440410942868,0.0573407843131753,0.143844807075243,0.21589253697667,0.000165291441104044,1.00276419521832,0.276755927451039,0.988879632223406,0.000538120307826679,0.0102512048202856,0.000331042648481794
"US","all.equal","all","two.weeks",1086,-5831.19943321875,1.42803346989508,0.014356626292982,0.0364021503867634,0.0255710298521024,0.792471585403312,0.0367959056375629,0.0582987866896335,0.00120424345140164,0.00456999825380144,1.18918013540004,0.207091346229181,0.000456943390215362,0.000657594811940969,0.00779195118364781,0.991093510614196
"US","all.equal","all","two.weeks",685,-5842.58339687152,0.901039856754868,0.0214071194543053,0.0333543302862233,0.00152981607946462,0.464713014464746,0.0339068533594152,0.150974738414198,0.449971649354537,0.0142056140257001,1.11852300737694,0.222612599225014,9.89211261409092e-05,7.36194553404431e-06,0.000490318711739574,0.999403398216586
"US","all.equal","all","two.weeks",478,-5829.86253148066,8.65762147445145,0.000635525478667358,0.045587115459101,0.479172731095259,0.447493886008454,0.0475874878267192,0.116362749449283,0.000723159470336467,0.00704256531735593,1.06588437808872,0.240915852000849,0.998138887889445,9.33192603398212e-05,0.00175233930671356,1.545354350156e-05
"US","all.equal","all","two.weeks",549,-5848.42010484091,1.60971826152353,0.00136571454423673,0.0258433991658145,0.592527708880016,0.0105810390989254,0.026807217071245,0.178987354526147,0.00044237226143475,0.0153677071584871,1.2561161800925,0.306935669742632,0.740785023699442,6.79539518859131e-05,0.0277440132413079,0.231403009107364
"US","all.equal","all","two.weeks",668,-5846.0497934203,7.68089338120493,0.0290617144038149,0.0409626279865468,0.590778937219118,0.0044067475659224,0.0425693829496593,0.0780877726496261,3.64801567316461e-06,0.0080041357009898,1.09033105800029,0.357339007606014,0.00225178566755193,0.000238319594696503,2.93132904251872e-05,0.997480581447326
"US","all.equal","all","two.weeks",1890,-5835.42839779304,4.14163047244248,0.0189308459291646,0.0305822755525174,0.0365661899970881,0.910769143500099,0.0302059021742395,0.181364889474619,0.302375670382674,0.982914263087774,1.04941172052943,0.281369102808036,9.84744243896296e-05,1.59313512509538e-06,1.47864613925232e-06,0.999898453794346
"US","all.equal","all","two.weeks",1243,-6005.63742006403,7.60071373144821,0.000806795952395325,0.0357460065711215,0.00409731182656087,0.999742946821584,0.0390971769529574,0.102713497850351,0.933706422307597,0.00162883199863904,0.930760061714096,0.373541028028419,0.99441928738829,0.000611245800402299,4.9815220829759e-05,0.0049196515904779
"US","all.equal","all","two.weeks",1166,-5899.20643720484,2.54966077712338,0.0123880654504136,0.0363557927963308,0.000232302727565784,0.196302031004645,0.0392692753521466,0.166055454219325,0.0248326697575128,0.000508067441565864,0.958978068612044,0.288866952753932,0.0117360182209526,0.0078387767428956,0.00230393990482278,0.978121265131329
"US","all.equal","all","two.weeks",1209,-5914.64357344783,7.08173119919721,2.18159370872918,0.0339939271113705,0.043210384516771,0.0927876692382007,0.035798351964115,0.14469858996739,0.99756623009564,0.000479113389437063,0.956738104755778,0.205050006796088,0.118519571575968,0.000152976668722553,0.000620473310074198,0.880706978445236
"US","all.equal","all","two.weeks",213,-5854.82706386,0.705413655648851,0.0326776040247594,0.026904051556379,0.0153193176990311,0.419483631502626,0.0279431764602328,0.248182992736182,0.764053567017742,0.265195205552048,1.25905680502123,0.315384619684963,0.000131410340816189,5.5915770374034e-06,2.0193202587653e-06,0.999860978761888
"US","all.equal","all","two.weeks",1248,-5837.44438164171,2.61255784017301,0.014939091700058,0.0410485978438192,0.0239060428126791,0.457960841117649,0.0409613645489838,0.109014709829758,0.0522113755780671,0.00578793924002254,1.04194558676748,0.284265178674391,8.91907887620575e-06,0.000949025581672996,4.00947597967671e-05,0.999001960579654
"US","all.equal","all","two.weeks",563,-5839.50114021868,8.64702592398119,0.00491034258335675,0.0271509911727483,0.000345052897310004,0.0885852354958076,0.0287006611468189,0.158611007586464,0.940449402724142,0.00358209532986206,1.18353432625546,0.354927672430393,7.25968567583069e-06,3.61044840582291e-06,0.00220023303202145,0.997788896833897
"US","all.equal","all","two.weeks",1613,-5854.45815620713,6.18122459918733,0.0269729146820399,0.0390624585241528,0.0410189228424645,0.978210561620175,0.0386493886710749,0.188879721746605,0.0162882005051198,0.000257952075545245,1.07548405514905,0.266622972623596,0.00558816319792163,0.000651859498434519,0.992973254816365,0.00078672248727899
"US","all.equal","all","two.weeks",871,-5924.09534519738,8.4944860393981,0.000767153407388054,0.05255669096273,0.972259720617924,0.250144963333801,0.0555373938613617,0.117235090832505,0.773241441058889,0.00638754980885661,0.931779652120925,0.1807417155345,0.998824784819823,1.07767684564124e-05,2.45955858844536e-06,0.00116197885313187
"US","all.equal","all","two.weeks",1887,-5929.72506117545,3.08583534960589,0.00898743552410378,0.0379085356092065,0.999730283713416,0.0119950235680724,0.036901160865504,5.66547805623376e-05,0.00134765977888658,0.976988538913818,1.02834412656685,0.998204749630749,0.000189244204589055,4.30315845142185e-07,0.000924569255911916,0.998885756223654
"US","all.equal","all","two.weeks",164,-5888.07405911557,8.20940504018752,0.00431338238441066,0.0453312939329781,0.912725480857568,0.000138998012835845,0.0474155920227011,0.10165485059454,0.492630391060188,0.00347647796567912,0.949177490471562,0.214432853658927,4.6980882366061e-06,0.000469201196247693,0.001071747048094,0.998454353667422
"US","all.equal","all","two.weeks",645,-5866.60782542722,13.884084093504,0.000200534587592429,0.0363874949024326,0.75180114247951,0.185344965948287,0.0386630912006725,0.147664019680162,0.001279002778408,0.0924573084857967,1.01247209947588,0.298817624764146,0.975065306783025,8.8675921935543e-06,0.000137437280574626,0.024788388344207
"US","all.equal","all","two.weeks",922,-5847.2238602456,12.6899447403846,0.0465379820495392,0.0454459974936694,0.997637406971531,0.937024756037936,0.0477308243237549,0.0226206654665002,0.974131983317979,5.62930325598673e-05,1.14749534078939,2.96195318775211e-05,0.981678096449981,0.000118475822714557,0.000566569365647321,0.0176368583616571
