"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vnwp_wane_rate","Vap_wane_rate","rec_rate","Vnwp_fail_rate","Vnwp_symptom_rate","Vap_fail_rate","Vap_symptom_rate","beta0","beta1","beta_mod_Anwp","beta_mod_Aap","rho","sigmaSE","lag","S_0","I_0","Vnwp_0","Vap_0","Anwp_0","Aap_0"
"US","Vn.equal.Vwp","all","two.weeks",1766,-5833.51675229882,9.87046517836894,0.00187708184132197,0.00107588232903754,0.024982938867646,0.322390213990944,0.000247455010800024,0.999684014706709,0.99957023950262,0.0257757961635689,0.146725384029878,0.245208310814302,0.0506204966649422,0.0231653448867756,1.18232121626513,0.311354236817779,0.99019138887446,2.49571115776043e-05,0.0093372605275482,0.000230101360060719,2.72738823970118e-06,0.000213564738113258
"US","Vn.equal.Vwp","all","two.weeks",540,-5828.15493276607,14.1993695412983,0.00292191772903284,0.0038489763119277,0.0378353738738407,0.802944864576305,0.993069359989262,0.897517366417521,0.866141660845831,0.0398174694536262,0.0882511092941945,0.536606565385192,0.000174826521185255,0.00452603412875549,1.13784894600701,0.264125877331514,0.114678797621367,2.54432490535302e-05,0.877540469665754,2.69265012392797e-06,5.09816609151861e-05,0.00770161515278624
"US","Vn.equal.Vwp","all","two.weeks",221,-5870.17213088141,1.2470206197595,0.00129903066697167,0.0244778414030836,0.0402586627181442,0.998649919235597,0.00272308920259871,0.4519025957048,0.127602358142645,0.0405664162084434,0.0408093386807034,0.0266531051579646,0.0797258619038023,0.921014101533041,1.00093850968751,0.209871562307676,0.0170210059078661,9.84930555675048e-09,0.00238385577116127,0.980546797984466,1.20609224457791e-06,4.71243949566613e-05
"US","Vn.equal.Vwp","all","two.weeks",1070,-5882.38562012317,2.67481142273023,0.00010608344966626,0.0110112514648608,0.0307161302738751,0.999976189338294,0.0190739322057738,0.514688541451503,0.000371967922500315,0.0333383974708785,0.149701703718834,0.139086503580332,0.00717590486076248,0.262546759736734,0.992815356048233,0.293032387388092,0.008313025827116,5.9255430019496e-06,0.0105356824271262,0.981059898516765,4.3936834279125e-05,4.15308517112195e-05
"US","Vn.equal.Vwp","all","two.weeks",1640,-5844.20403843176,13.649027486009,0.0109546876733292,0.000274368765454928,0.0404078759846284,0.999567585497605,0.660754465046002,0.973123100450957,0.995023341775324,0.0417626558223612,0.0721191330046284,0.000603925030407671,0.993271252663784,0.000239116949674896,1.0851820084556,0.376086680070869,0.0102839372460681,0.00444294109313122,0.0126775858538297,3.36630297631271e-06,0.968222933270057,0.00436923623393792
"US","Vn.equal.Vwp","all","two.weeks",240,-5865.47957161807,32.3379292926737,0.00729479995583766,0.00116748523640809,0.0292356294674401,0.00244426162959348,0.2199957803748,0.936041858024286,0.894829550211554,0.0330013876009843,0.161036900241424,0.996471780740929,0.882337426476237,0.000532526310062085,1.08500689489097,0.319242776987477,0.000222138267668549,0.00988418760633567,0.947934026161827,0.0320613823165803,0.00236270068684637,0.0075355649607422
"US","Vn.equal.Vwp","all","two.weeks",1436,-5837.23473498815,2.4447297384157,0.00859355347320581,0.686869784057936,0.0377965622264727,0.043111348072191,0.00664186035699029,0.0146035997076101,0.999130130586857,0.03887314796611,0.0301937002662124,0.575980826376927,0.840643921175971,0.00141572373398807,1.16353863752324,0.340538594921103,0.00585650821551666,7.50549747206732e-07,6.60436090346439e-05,0.993075095776015,0.000955303725361233,4.62981243255569e-05
"US","Vn.equal.Vwp","all","two.weeks",1508,-5825.43662957739,9.08871978804054,0.179261202259797,0.00900842084177982,0.0294786475717592,0.384831004513735,0.375535557358576,0.0319148060853285,0.0605419575482938,0.030420914962248,0.133173771962695,0.506745022956756,0.00142635107676492,0.0988981746928048,1.10782970478261,0.279331685455505,0.000115797473760238,3.26223181440701e-05,0.122770658562255,0.874923288857175,2.44306644399543e-06,0.00215518972222177
"US","Vn.equal.Vwp","all","two.weeks",1280,-5882.90321808265,28.9951111668297,0.0881047191539069,0.0104644523253767,0.0491916310862131,0.65694931303576,0.775319494717562,0.977044928583805,0.0116704883858794,0.0513109655822896,0.0396904854011882,0.114868531599001,0.713230197036039,0.00178210355098948,0.971198721509291,0.28173436710063,7.43565131144903e-05,3.25007384373373e-06,0.996364430917717,0.00276477977475732,0.000493287794065816,0.000299894926502024
"US","Vn.equal.Vwp","all","two.weeks",389,-5859.30181155989,2.26667857943927,0.0159488643340868,0.0188815587820109,0.0265076630027442,0.0153529286932908,0.993440706899655,0.991219934575235,0.0069797626836422,0.0263783468077264,0.213098679432996,0.4299619593106,0.285302716884868,0.000886966096958213,1.15690924239203,0.305151265131415,2.34817093252378e-05,0.000438790436921371,0.995932467688379,1.73908130606204e-05,0.00358479572224197,3.07363007203413e-06
