"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","V_wane_rate","rec_rate","V_fail_rate","V_symptom_rate","beta0","beta1","beta_mod_A","rho","sigmaSE","lag","S_0","I_0","A_0","V_0"
"US","all.equal","all","two.weeks",755,-5865.13137022474,21.5934763060804,0.00370516230308829,0.0314114852937748,0.984618429527504,0.0089322944064336,0.0322923000498031,0.0845118051872496,0.601070463809442,0.971482989351147,1.00334318716688,0.308551947163922,0.00295039281676585,5.21416780264503e-06,8.29851892741767e-07,0.997043563163539
"US","all.equal","all","two.weeks",478,-5829.87814538537,11.0982300075902,0.000601230083416996,0.0441851240445837,0.438979269265622,0.427725229678847,0.0475864621013756,0.121563727856393,0.000626279361798056,0.00593106302296488,1.0429298894433,0.243395548364441,0.998684027687398,8.17323801389509e-05,0.00122109104601354,1.31488864491637e-05
"US","all.equal","all","two.weeks",462,-5862.28798504651,10.8587399787123,0.00633111093160144,0.017276220686536,8.79903247237794e-05,0.734416365487162,0.0177409404746462,0.225774792463748,0.00187209016998415,0.00833374555736583,1.2959633584931,0.329981621416762,5.3576000000663e-05,0.000338385135542743,0.538545169333547,0.461062869530909
"US","all.equal","all","two.weeks",912,-5882.96974289466,2.78691452137871,0.0258275163617679,0.0569893979883212,0.101975471634293,0.415428341867363,0.0564223091679602,0.10848371673662,0.0120777653919954,0.00326157146201528,0.906601960119413,0.256366477247366,6.27089331519364e-05,0.000161139521231848,0.000802216779433791,0.998973934766182
"US","all.equal","all","two.weeks",1052,-5879.93470215033,9.7896925026034,0.430559809076916,0.0615524172573375,0.0182991933171378,0.078811313909641,0.0652015907795175,0.128463248143271,0.838999285609971,3.040419797329e-05,1.00623890336091,0.359223997777004,0.0948913863459737,0.00900275858798398,0.00196469638983612,0.894141158676206
"US","all.equal","all","two.weeks",399,-5883.72118419319,13.3398902209888,0.00251671476168374,0.052153758910136,0.831203919780473,0.170902653099932,0.0532310584980332,0.0955780476415045,0.984903844727562,0.756399068760912,0.868398952300341,0.275004790430023,0.0430558410532834,7.55058825130618e-07,5.35406369564343e-07,0.956942868481522
"US","all.equal","all","two.weeks",1890,-5835.24773619547,9.30834715351827,0.0181029321989529,0.0303903721669757,0.0329999857945409,0.894420287067549,0.0301638192938232,0.178773437362447,0.289099945610032,0.985419525569221,1.08213121482941,0.307545387628254,0.000147042455759889,2.14464610220518e-06,2.14311815277949e-06,0.999848669779985
"US","all.equal","all","two.weeks",558,-6067.3246795417,42.3332931940954,0.00952258012559653,0.0414623231998134,0.992862793099458,0.00165983444800607,0.0426621400919892,0.0941444024327481,0.102427726555096,0.0466263795026552,0.734264161489016,0.220162883584502,0.000248853722688918,1.98253064591495e-05,0.000403501789760585,0.999327819181091
"US","all.equal","all","two.weeks",1767,-5941.32822779556,10.7778626357919,0.0119706327158258,0.0343125546007214,0.718297482842357,0.344901857428752,0.0341101387874898,0.113629243687223,0.00244829686676671,0.00289834744527666,0.909941644157788,0.242363150184166,5.61589326591922e-05,0.00185330994233933,0.0923433260211583,0.905747205103843
"US","all.equal","all","two.weeks",597,-5869.27175511406,3.17424376512673,0.000806831044487572,0.038960587936731,0.980173492635473,0.05872231902971,0.0442309075110671,0.0793948269122216,0.770349257200646,0.000386983475368728,1.08614722500439,0.357290643420639,0.0180101196073715,0.000307515920844848,0.0328867069684812,0.948795657503302
