"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vnwp_wane_rate","Vap_wane_rate","rec_rate","Vnwp_fail_rate","Vnwp_symptom_rate","Vap_fail_rate","Vap_symptom_rate","beta0","beta1","beta_mod_Anwp","beta_mod_Aap","rho","sigmaSE","lag","S_0","I_0","Vnwp_0","Vap_0","Anwp_0","Aap_0"
"US","Vn.equal.Vwp","all","two.weeks",1096,-5958.06757284198,2.4452767686587,0.000578973152492751,0.00115634171735353,0.0566632703567225,0.946342957501784,0.325667713975563,0.851330645165874,0.0111198064710512,0.0562429885020736,0.0828166123367989,0.967610121500438,0.000213783937200183,0.00404978475726063,0.871619302076174,0.415325860951613,0.0172655644007484,0.0013545508474405,0.0163478075116137,1.52906625264824e-05,0.0003788178554924,0.964637968722178
"US","Vn.equal.Vwp","all","two.weeks",540,-5823.18705446443,37.3378504594977,0.00269931560753265,0.00323935021487182,0.0374336505565106,0.804753463889821,0.992074026774899,0.888046676433506,0.850966652044974,0.0380675895077076,0.0970126627604237,0.504617107930986,0.000183240982255051,0.00465460568889027,1.08209055670133,0.244071121537582,0.118212784018516,2.76291122798954e-05,0.87229421687776,3.2505427992744e-06,6.36006785652046e-05,0.00939851877007974
"US","Vn.equal.Vwp","all","two.weeks",460,-5902.41228013546,7.81066409007532,0.0103022900258973,0.00429150596616366,0.0520975841084223,0.619088443586769,0.744560963984872,0.0299286761710936,0.263686488511021,0.0534255417440413,0.15732517145321,0.347714194481342,0.0656844649593665,0.00126061513241705,0.986955296713981,0.327744356377569,0.534186101691899,4.31728134332626e-05,0.395338468103893,0.0610316976629466,0.00342305914146,0.00597750058636779
"US","Vn.equal.Vwp","all","two.weeks",1327,-5851.38231743928,4.49953131203659,0.00103237334827704,0.0515090103678616,0.0212989742054281,0.521203720261165,0.137886610299082,0.310773391411649,0.860002585934485,0.0229511041040202,0.256516812344235,0.00832377778775123,0.0557457336695719,0.578352801280241,1.19077501832206,0.315248526676111,0.0252297222161527,1.39032145942396e-06,7.12973501398919e-06,0.974759894474148,4.59079287598706e-07,1.40417393777515e-06
"US","Vn.equal.Vwp","all","two.weeks",1707,-5875.05498771683,1.48219528909864,2.64164124698484e-07,0.000367634145178727,0.0204347661172171,0.743320621588941,0.0024280109269471,0.00441800752449621,0.133023165037557,0.0353042786851499,0.156409939948367,0.759524457988193,0.554681799743948,0.116374362180941,1.14833380390664,0.296518450870526,0.00112697760636886,0.000602693121240866,0.997987643988942,2.42808316166319e-05,0.000162839882648986,9.55645691822035e-05
"US","Vn.equal.Vwp","all","two.weeks",1917,-5846.69890957813,9.81143200623463,0.000126507299056011,0.0248259753185549,0.0440097279693179,0.964555475078926,0.460418404777359,0.946991781620703,0.0536878149796318,0.0460912826756541,0.0888194574001826,0.194939085531068,0.025311203520208,0.00597244590214556,1.02839505993428,0.278185201155532,0.000211007598892231,0.000101321683773525,0.0174872679127369,0.975350733844335,2.58581824535614e-05,0.00682381077780879
"US","Vn.equal.Vwp","all","two.weeks",1290,-5849.21709986701,13.3226191262831,0.0156602403720303,4.14880355559127e-05,0.043516642239202,0.000159182964557284,0.495390773523566,0.922985993505086,0.96082691172427,0.0436862020080039,0.140891334344528,0.730358164188659,0.633504902764385,0.0146282399589525,0.947889587296914,0.258002799081899,3.72664417034264e-06,7.92072680980835e-05,0.999605823093495,0.000145164613891726,0.000152621913352988,1.34564669915193e-05
"US","Vn.equal.Vwp","all","two.weeks",1070,-5828.15134811166,9.15590327775843,0.000102206790773804,0.0126642975642648,0.0320521716207607,0.99997926958917,0.0185838659728481,0.523792701943975,0.000346664253142863,0.0338334342083388,0.17545750140877,0.131828483247623,0.0070204529386612,0.277803302627557,1.12666484101353,0.30826066523548,0.0095582149035074,5.49066360944777e-06,0.00853870392651887,0.981804415543724,3.72883123041529e-05,5.58866503362846e-05
"US","Vn.equal.Vwp","all","two.weeks",445,-5930.2823987986,7.82030929075302,3.83719634855018e-05,0.0847523743821032,0.0575769324525335,0.996579405795674,0.00416411532293384,0.00890078805644899,0.0338525640922636,0.0601244090881027,0.0617077221536181,0.562071325266895,0.794900110402127,0.0297795819081126,0.87702219479912,0.402903779440194,0.000237285878395911,6.71292361899132e-06,8.82114113250216e-07,0.999727043449726,2.58844353220232e-05,2.19119882336269e-06
"US","Vn.equal.Vwp","all","two.weeks",1704,-5885.00057348917,11.4570219932757,1.97878787532541e-05,0.00196380496504859,0.031501509394799,0.666622057823434,0.000729987502819631,0.00102373518449222,0.634065159142257,0.0416326973492025,0.150888691352095,0.996255956678913,0.38061739326872,0.978253699205371,0.987621370476546,0.256246352660522,0.000198068240282999,0.000140965853326074,0.998609471445845,2.62856931652912e-06,3.9309577256075e-05,0.0010095563139732
"US","Vn.equal.Vwp","all","two.weeks",1337,-6734.13280134872,52.5544300429335,0.00268648424971686,0.000508109813178167,0.0386925263649177,0.0536360337008393,0.975377993200246,0.00852521046320881,0.0258945000177335,0.0425949701312847,0.00711004585896624,0.0125664994802424,0.50374474076775,0.0146363887819984,0.858590796513942,0.00413854653964786,0.000194683299485795,1.23760730228076e-05,0.996727995204553,0.000177805838162046,0.000317093606111707,0.00257004597866458
"US","Vn.equal.Vwp","all","two.weeks",1293,-5934.83100900614,0.839913582558806,0.00607472678046627,0.000239842897811227,0.0412737402815722,0.00242358123726934,0.999661666857347,0.534174191238549,0.229956938147911,0.0416592723610021,0.0855162985587817,0.931042248218114,0.848905447170171,0.785398837443891,0.862908530509962,0.231778079874786,7.1704886203742e-06,2.66096323373835e-07,0.999954884144848,2.36886607988426e-05,6.91724473389471e-06,7.07336467575738e-06
"US","Vn.equal.Vwp","all","two.weeks",696,-6023.84967037355,2.48602095887265,0.0198875355813946,2.26813206919936e-05,0.0951990185974777,0.718195349707359,0.142238440001885,0.898318676805056,0.871157584960759,0.0948639487569975,0.11367911646454,0.232147130800986,0.0189338266614056,0.00040256029285695,0.684927642283104,0.205593136027613,0.00588545197673417,0.000352574582854285,0.972361991529844,0.00307131125494202,0.000857530431637877,0.0174711402239875
"US","Vn.equal.Vwp","all","two.weeks",503,-5909.84477839788,18.7939744343045,0.00569087228461839,0.0153355499153551,0.0407577893854153,0.255329260332341,0.991719923809543,0.0752986472331315,0.16268207438858,0.0427636429334634,0.0196209683269803,0.983403422710955,0.0969922689125479,0.000744919245130559,1.01367062762219,0.233231110988336,0.00735024803152318,0.000682455276626562,0.227292989159622,0.761533667710726,0.000542368253635542,0.00259827156786669
"US","Vn.equal.Vwp","all","two.weeks",598,-5924.16917420149,8.55982094869839,0.000678842969256555,0.000117619775403531,0.0374677347310218,0.579732593886794,0.914656066278303,0.929892295900306,0.000698785582094435,0.0439522961708241,0.00439884612014199,0.0507609467654762,0.81286363267749,0.732347498086895,1.05921561384477,9.42168083564348e-05,2.55854288679561e-06,9.92022315595131e-05,7.72503189100768e-05,0.999788737653307,2.91161072620064e-05,3.13514607515798e-06
"US","Vn.equal.Vwp","all","two.weeks",818,-5949.7105628567,3.29801450252595,0.086965991162168,0.00344763279222244,0.0513031183848376,0.687832723582286,0.0105061184334907,0.018688755966121,0.999173469062463,0.0515608373271651,0.0866166860010403,0.0963548788587515,0.0764649091961414,0.993983634140406,0.798092782019556,0.305301882178244,0.000302767355247303,2.47659890689873e-06,0.999693347736085,2.1835928115416e-07,1.58231512431365e-08,1.17412732853137e-06
"US","Vn.equal.Vwp","all","two.weeks",1766,-5814.00365342271,19.2583650487315,0.00153512488070806,0.000984835072774951,0.0261169927449197,0.332636108969543,0.000200898415506397,0.999680982961053,0.999599424797591,0.0266121132921278,0.138766611959004,0.243344927055711,0.0488800774864088,0.0174604058557246,1.20305519385566,0.29260325408499,0.990497342210432,2.19154155680189e-05,0.00903823893461468,0.000194705073865651,2.95740262734924e-06,0.000244840962892752
"US","Vn.equal.Vwp","all","two.weeks",1703,-5940.63722527786,24.5391005226832,0.00342766672849214,1.67297233822518e-08,0.0686380150180755,0.997970851851183,0.843781498833586,0.819908884175115,0.971151268058399,0.0758195658756552,0.010960186165075,0.275736904119875,0.0235484877171476,0.000131147453885353,0.967462385756443,0.895708209591278,0.00218612401802672,0.000417211907249428,3.01861477087473e-06,0.997315750844858,7.76334655018858e-05,2.61149593086444e-07
"US","Vn.equal.Vwp","all","two.weeks",1010,-6030.04518273228,6.87691388064039,0.0427276982074554,0.000157443195712821,0.0587295446249907,0.289945710937182,0.530333603140575,0.998345927835118,0.166423547767576,0.0623356133140529,0.00072435878588076,0.872282214705297,0.681864229700976,0.000146540049988593,0.865889189122511,0.266203761590178,0.130922965009563,0.00688790479915313,0.0129142620609754,0.848868896277135,1.52143513618561e-05,0.000390757501811329
"US","Vn.equal.Vwp","all","two.weeks",1484,-5966.10187536547,5.0221903693163,5.20741188394459e-05,0.00662433071286469,0.057786566504563,0.0833598513341781,0.0134640114320014,0.0627898990648457,0.932919018730881,0.0613275771118384,0.0309584286446353,0.967843843879981,0.940273099983688,0.999069461557153,0.835299736967758,0.0965386085138319,5.01072433863791e-05,1.01209098418577e-06,8.98286939319767e-05,0.999855505111296,9.44673994810364e-08,3.45239300196702e-06
"US","Vn.equal.Vwp","all","two.weeks",751,-5978.12366871811,16.6432896346808,0.000528230343530186,0.00342406364753516,0.0457023125500827,0.994838484743119,0.594245117609044,0.0127168257465085,0.853109205074503,0.0476881508554057,0.0397593795742637,0.272365694589299,0.440302445219608,0.285697157925867,1.01085491418619,0.265126273941294,4.88003501747855e-05,1.27350036440501e-05,7.93626533574838e-05,0.999548736852525,0.000249225512903063,6.11396273953984e-05
"US","Vn.equal.Vwp","all","two.weeks",737,-5911.78233856843,4.26884365223555,0.443590576818273,0.084341538843178,0.0353490873419235,0.95955960364618,0.0519762960162451,0.890349898064028,0.00133411303946705,0.0357369678093087,0.0978657616593943,0.0252509826527205,0.000830201248008657,0.00028815877564267,0.928182734522044,0.264486408736708,0.0195587600721495,0.0052944288364131,0.431971866683426,0.514413315157357,0.000669210775286016,0.0280924184753679
"US","Vn.equal.Vwp","all","two.weeks",347,-5973.02219011429,18.0868575934641,0.00230790615921275,0.0560588213036554,0.0538330913877093,0.918981106697721,0.766235765532983,0.996096074825069,0.0184997093813308,0.0550485000182712,0.0287037720983158,0.00251294758423451,0.964435656354337,0.233874237667341,0.869493839251769,0.257961291414765,1.24034896034438e-06,8.49437201273956e-07,0.998386389129159,0.00160923553554892,1.69094089668322e-06,5.94608233865262e-07
"US","Vn.equal.Vwp","all","two.weeks",534,-5886.07354783443,32.9010365689254,9.80768206432163e-07,0.000249832492970301,0.0177230361075054,0.917183947815946,0.00100741286043886,0.982218801422106,0.468716901207551,0.0237929967239124,0.27585416568739,0.777613032773452,0.949655138321172,0.686039050683833,1.14958626056051,0.280045860930307,0.00240077101741882,5.2951694067908e-05,0.997263459671934,1.32899786707802e-05,0.000226316900745104,4.32107371637136e-05
"US","Vn.equal.Vwp","all","two.weeks",1436,-5835.75012526093,11.3950662445475,0.00947923613192507,0.603920290303484,0.0304325596281035,0.0442834751470415,0.00620728208098363,0.0119240447373625,0.998980815607649,0.032608765265294,0.0346238693613667,0.54370971598406,0.82189997902083,0.00172482361389629,1.33535484649033,0.326700778864274,0.0063151722058767,7.53627384035059e-07,6.14780654772296e-05,0.992471683383173,0.00111007019590884,4.08425221802038e-05
"US","Vn.equal.Vwp","all","two.weeks",102,-5865.40863292631,2.70421178780947,0.000193633753621854,0.0821540474996613,0.0417257476784935,0.00187745909245556,0.963594236986997,0.00585104491581252,0.00376404859911042,0.0444140852871766,0.0782556101625624,0.948579542842835,0.00137955140818412,0.975654957064232,0.941753832076089,0.263533137060236,9.57203720398193e-07,9.33974415148514e-07,2.93022404668978e-06,0.999991999141714,8.2529886292537e-07,2.35415724048215e-06
"US","Vn.equal.Vwp","all","two.weeks",687,-5853.00899789049,5.19451889565481,0.0403981075579405,0.00271593602271719,0.0401834952781073,0.00211570746347728,0.314169420703036,0.889769501974536,0.903343362801048,0.0388274834118873,0.0919509864408209,0.521932517846705,0.000121864886946828,0.0316522570965185,1.06792853532397,0.331315713847744,0.000239372293025689,0.000130235385931447,5.98532479019634e-06,3.96747879248292e-05,1.53008093656017e-05,0.999569431398962
"US","Vn.equal.Vwp","all","two.weeks",1093,-5952.06878935972,15.3974890316278,0.000717156163620377,0.0310287989389431,0.0344946553600527,0.231727075385719,0.75347686250327,0.615671932455336,0.99551432543986,0.0349135715244972,0.0602912488404145,0.00880614453014554,0.375576428849872,0.998478129569063,0.886336685922605,0.240069696253241,2.89363908050161e-06,1.29703328631282e-06,0.000236933437303072,0.999724528261072,3.35158438090764e-05,8.3178544940613e-07
