"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vwp_wane_rate","Vap_wane_rate","Vn_wane_rate","rec_rate","Vwp_fail_rate","Vwp_symptom_rate","Vap_fail_rate","Vap_symptom_rate","Vn_fail_rate","Vn_symptom_rate","beta0","beta1","beta_mod_Awp","beta_mod_Aap","beta_mod_An","rho","sigmaSE","lag","S_0","I_0","Vwp_0","Vap_0","Vn_0","Awp_0","Aap_0","An_0"
"US","none.equal","all","two.weeks",604,-6053.91186404747,4.97957625689053,0.00822124763942609,9.15905767609865e-05,0.0208568692282088,0.015391320949211,0.506807291989329,0.211678574913797,0.911565820203799,0.913179785252829,0.986725042949093,0.965337251174563,0.0164619682686971,0.326415439208102,0.732652909640239,0.128670434989035,0.017364040096671,0.000213328517082645,1.17753636858903,0.364061066874711,0.0922473581541161,0.0400183248691911,0.314839127964422,0.039924988617066,0.322169423070237,0.0389530293122422,0.145656194760317,0.00619155325240816
"US","none.equal","all","two.weeks",1854,-6021.01628764117,18.8671215360161,6.52712414421481e-05,0.0016820301104526,0.000249888699285425,0.027896666228797,0.550974889195052,0.0516321432986851,0.179480395775109,0.949961013685608,0.900636402604977,0.688303527559239,0.0429989737363734,0.206352870648028,0.00424870820056439,0.00704826276797058,0.039660148784789,0.000322875936534668,1.00605560345572,0.320114038396327,0.0691450700302944,0.045796156970279,0.252055397002865,0.075908944757694,0.0490064892971794,0.140725445446248,0.110565051696433,0.256797444799007
"US","none.equal","all","two.weeks",259,-5969.66149288982,2.72452699508309,8.14112341815959e-05,4.10918130358118e-05,0.023264719446455,0.0521825386042825,0.0880918397932776,0.00518335103081921,0.993480863745853,0.187639079231617,0.0137956123755494,0.00268516889429868,0.0637749889950319,0.133714068433412,0.00024473297362337,0.0725807328162442,0.984532220305451,0.0001539325708891,1.0163932133794,0.328070163433066,0.196962842809977,0.0704147291434403,0.15735530864329,0.010845860147863,0.255558411583204,0.0896275487626085,0.185962045837199,0.0332732530724176
"US","none.equal","all","two.weeks",107,-6408.65057254185,2.37951645827492,2.49904164224413e-05,0.00554811755856154,0.000155529811548917,0.0249974575942348,0.995151942072455,0.0229027963736134,0.576554226649699,0.0639343324748732,0.983279642795255,0.524213020836947,0.0297381109754017,0.327922885259982,0.54653899040659,0.000236257834071165,0.934649097324551,5.84366752416237e-05,1.27020886345829,0.360628091002756,0.180180047028212,0.15589771286217,0.0441987384108213,0.20286812781527,0.0608018755202404,0.036446238253963,0.250341249683772,0.0692660104255519
"US","none.equal","all","two.weeks",1055,-6008.97658668323,15.6036372472265,0.00465056110231485,0.000172012686523286,0.00293555860257235,0.0468143754896365,0.0023169732941439,0.474878751908839,0.98312682360854,0.00886352602252666,0.822668987825894,0.00425809033734279,0.0513341718304969,0.112195206773332,0.0220065610559064,0.135793075135889,0.0668103117560354,0.00277992580900574,1.13511461318513,0.295172140094287,0.0536254768881912,0.00430333040486288,0.125113453559547,0.225812881980952,0.0948252577247671,0.211028604676269,0.115041549071593,0.170249445693818
"US","none.equal","all","two.weeks",1980,-6492.35584622975,23.7249528148903,0.00103090243822999,0.014743506960001,1.03945049737858e-06,0.00530124546266215,0.0067091192577296,0.876950909520363,0.00539537817309038,0.948834932023914,0.772972042912458,0.869590317361997,0.00879839755135486,0.486703089309704,0.0468897102854333,0.142002810200844,0.705757911395782,0.00028046381765892,1.53882249212517,0.440267257755365,0.0956341090645527,0.228879192957925,0.115855289524235,0.174091913773019,0.12619090389694,0.0894178538005203,0.0690226343374733,0.100908102645334
"US","none.equal","all","two.weeks",23,-6066.49760393939,38.3994617391688,6.8052520939106e-05,0.000327448970780913,0.13855466783909,0.024412824595755,0.915354610197746,0.00342982103169306,0.0295322458395568,0.992841040460217,0.961215427149029,0.761857988151193,0.0276549174140137,0.29394131658926,0.97950519438248,0.166041157277583,0.010717584509305,6.19152431892806e-05,1.25300083744994,0.291530252619152,0.235016921521601,0.129374542321851,0.0519936546918517,0.270779029466376,0.105176096270379,0.148413421742517,0.0138777568641553,0.0453685771212687
"US","none.equal","all","two.weeks",1284,-6211.23658962619,63.817909339186,0.000298355291249662,9.64170409584541e-05,0.0299160342234177,0.0948509206757496,0.738081673052171,0.333742972471978,0.0337763263311824,0.974951412790124,0.950502814344752,0.047469861250038,0.111016426085401,0.102011683587789,0.110710487238672,0.801921216426884,0.916788418443534,0.000104975882567734,0.684318063535123,0.2690038951858,0.194028855909581,0.127792964545656,0.0101985399214395,0.261198771841845,0.0923389190879097,0.0844454924382484,0.0780930264231816,0.151903429832138
"US","none.equal","all","two.weeks",94,-6249.55057821924,54.931996651034,0.000158137800309507,0.00983668066412534,0.00485101767739692,0.0141188520721306,0.157559620458335,0.960529196086734,0.609537757190366,0.730525360231514,0.120785296308818,0.890938380955066,0.0166872702938786,0.319975966807093,0.0842428650907374,0.0138573432097753,0.633586234415527,0.000728033727681244,1.5452156266036,0.356836075180016,0.0260711595228375,0.147336172401147,0.0617442684007051,0.272423876364901,0.116651970841495,0.0408233783416051,0.282749143044327,0.052200031082983
"US","none.equal","all","two.weeks",1727,-6049.30996932574,4.19335104121472,0.000192051756764043,0.000491560890031182,0.0040554674191525,0.00688911831172702,0.362864586941983,0.980374624169228,0.948939426833476,0.0733357679089035,0.950918134643097,0.00104722113163613,0.00807886781271399,0.316682273918598,0.0679463692429231,0.855990505037291,0.107271571963354,0.000647303546303172,1.47101594583127,0.46537167431055,0.255160939812463,0.0455230455889636,0.115964465514192,0.02951664997908,0.113814035821087,0.300773357900264,0.00176516212753414,0.137482343256416
"US","none.equal","all","two.weeks",1740,-6043.35782314773,6.94108852078919,0.00129810502925851,0.00043555569132235,0.00622262998435282,0.00815866428861277,0.0194906005418519,0.924169709189812,0.159649373893607,0.194484405799037,0.0836196912156563,0.0561533857087723,0.00959515342026779,0.0406386189001832,0.44075260426424,0.801507391781907,0.0419295651434448,0.000442538048106498,1.83271843939644,0.485216425007749,0.0707366951616585,0.147689611513003,0.0474546166933459,0.187679501242205,0.241237455027715,0.0381212063649412,0.0178907479633684,0.249190166033764
