"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","V_wane_rate","rec_rate","V_fail_rate","V_symptom_rate","beta0","beta1","beta_mod_A","rho","sigmaSE","lag","S_0","I_0","A_0","V_0"
"US","all.equal","all","two.weeks",1,-8435.6073828529,39.2733176250458,1.6949264109282e-06,0.147137804054392,0.798043836106376,0.743968347471862,0.169978744538314,0.000177265314734546,0.922508554656848,0.938886500163019,0.556237920322494,0.952545934935748,0.979323602890948,0.00328071171712261,0.0173863904086784,9.29498325072336e-06
"US","all.equal","all","two.weeks",2,-32451.5050415608,20.8065812429777,0.000114498135355361,0.00264184211880551,0.211222767541054,0.00717490812774067,0.000621470431423777,0.106618779087554,0.0214189380661559,0.203706813351837,1.79187890940024,0.99548698179359,0.00220864858907306,0.00612493621544199,0.991359643071382,0.000306772124102783
"US","all.equal","all","two.weeks",3,-6014.95959210376,12.8632031308729,0.0982489160674938,0.0577771317945405,0.0569073666864394,0.707564685881147,0.06601031212126,0.000461274234670803,0.108921583836101,4.10831133131978e-05,0.949369063984182,0.0307899909488032,0.615956155220404,0.00165747408431286,0.382306416356228,7.99543390548599e-05
"US","all.equal","all","two.weeks",4,-6430.36395219077,8.53493867507456,0.000106055914662939,0.0431351109640185,0.422031325631008,0.0514912577483336,0.0770099086617799,0.0491600801932819,0.75381427420551,0.00283446344090319,1.13463815290502,0.523902426437389,8.38422747537438e-05,0.904792000981687,0.0950676529374365,5.65038061231871e-05
"US","all.equal","all","two.weeks",5,-36720.0027132392,0.00175267921726773,0.00165946335601854,0.518260641084869,0.30391027565658,0.394875378761771,0.0143782497347799,0.0172301867767973,0.905829681240524,0.0304767577707482,0.222011213676403,0.00353118073349341,0.162436611725849,0.685261913643163,0.0191188429533009,0.133182631677687
"US","all.equal","all","two.weeks",6,-9163.44794809286,94.0153215909171,1.43427183660377e-05,0.0804689397926696,0.880246603003476,0.00691862312985255,0.0894661207802582,0.0558952456242823,0.952735646655233,0.995270791087369,0.739636300981808,0.132654623797587,0.929010789773283,0.00330340094437316,0.00174230406481428,0.0659435052175294
"US","all.equal","all","two.weeks",7,-12627.0497692497,190.265034125902,0.120128590873559,0.0424284228850748,0.858420275638822,0.919425224142863,0.0430051142935085,0.0957561315595514,0.500916020051816,0.0383030072303277,0.87601437650141,0.243238318336424,0.967930408588328,0.0208944299058777,0.000256725161991415,0.0109184363438031
"US","all.equal","all","two.weeks",8,-6618.66242113503,9.93058373566395,0.000304159075917706,7.0381122539133e-06,0.0672062033400746,0.421922423422249,0.000198474117290164,0.0143184458056105,0.127594079217382,0.765901527610619,1.83715207974551,0.0150011316149024,0.99963532549447,0.000303141989258202,2.94322238419633e-06,5.8589293887961e-05
"US","all.equal","all","two.weeks",9,-5990.4057875577,3.17926201772608,5.32653275961993e-06,0.0243337216357529,0.990789963242534,0.000201160286410246,0.0495230121843025,0.0271850175084735,0.430378258851663,0.823621287163091,1.11121088379453,0.993047061713877,5.74159110461055e-05,7.26444209096979e-05,0.00349344938637759,0.996376490281667
"US","all.equal","all","two.weeks",10,-36659.5879510241,0.218799245441654,0.0014157853361744,0.406141709377216,0.00125978127061661,0.439413517181207,0.0979097392695297,0.00425223227287147,0.998844247472023,0.992378350725844,5.85322199511807,0.237536181523476,0.0151647814607826,0.785283572281686,0.192625139736921,0.00692650652061031
"US","all.equal","all","two.weeks",11,-36338.1432605906,5.21738395021509,0.000367166100830106,0.0328482267014506,0.000286019403828196,0.855025330519971,0.0353462189356866,0.0494403648389857,0.0107966968252212,0.406826712269922,1.70123760881243,0.355689551873725,0.00019236922530399,0.00564245966231339,0.897652476725571,0.0965126943868115
"US","all.equal","all","two.weeks",12,-6908.8235021,1.87674949085542,0.00157045150259481,0.102945965535396,0.374370037165075,0.713998898984738,0.102604317496884,0.0197375393332134,0.915039941011174,0.606235107090558,0.682460907105329,0.0242281887916252,0.878060606568866,0.109272363579857,0.000795987026061704,0.0118710428252162
"US","all.equal","all","two.weeks",13,-36205.6853451307,4.90189650842444,0.000637723802165283,0.0154399756964298,9.55510530792145e-05,0.613513629070602,0.00124090692947611,0.000889947439865135,0.957462604579301,0.00234676248952515,0.823132072520845,0.0329267151068099,0.00212197140819136,0.003327647818181,0.95080396669932,0.043746414074308
"US","all.equal","all","two.weeks",14,-6564.84202291603,21.9218152243246,1.09147978052057e-05,0.0562631063225956,0.278498533766304,0.540033938564129,0.351030852788751,0.0144902345546482,0.118270618696427,0.000152109631995262,0.846032930493384,0.0398933561954722,0.0772123887190575,0.0077458824487203,0.873060235065297,0.0419814937669249
"US","all.equal","all","two.weeks",15,-11903.8278667144,168.938718544055,0.0158261538698783,0.0834670261333645,0.81311898508444,0.952538978574026,0.0823568088818993,0.0338429684829218,0.118554218354849,0.999899473222587,0.671817782503452,0.999578908178985,0.872504901743585,0.00596787853826168,0.058074984642037,0.0634522350761161
"US","all.equal","all","two.weeks",16,-7310.85784104302,49.7470660381115,0.00929037690965066,0.103540325411527,0.56450229692772,0.999951061398929,0.103209120360741,0.0445887099376182,0.998588588521243,0.540393930012809,0.715739056156635,0.159691404697457,0.131803479642494,0.00670837910896251,0.00181430656434505,0.859673834684198
"US","all.equal","all","two.weeks",17,-6340.1795653457,17.4130332744587,0.0105144007810667,0.0439973799128957,0.198511371966256,0.884792805920445,0.0568361429828353,0.0106013032034478,0.0459879417163264,9.71280230587571e-05,0.857684237074832,0.222691645714069,3.16390153957893e-05,0.00511856447383218,0.99484683520822,2.96130255239121e-06
