"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vwp_wane_rate","Vap_wane_rate","Vn_wane_rate","rec_rate","Vwp_fail_rate","Vwp_symptom_rate","Vap_fail_rate","Vap_symptom_rate","Vn_fail_rate","Vn_symptom_rate","beta0","beta1","beta_mod_Awp","beta_mod_Aap","beta_mod_An","rho","sigmaSE","lag","S_0","I_0","Vwp_0","Vap_0","Vn_0","Awp_0","Aap_0","An_0"
"US","none.equal","all","two.weeks",1,-7425.93130850935,5.8190782533684,0.00144276240380921,0.00345254902194396,5.19065391466427e-05,0.00808988721578758,0.0139398271774641,0.869237349168905,0.869860948363256,0.91997895859029,0.728764795841796,0.913216165345543,0.03283144404633,0.95456332688163,0.796508119923296,0.0157324253448862,0.860874313152263,0.188268404860608,6.22828147244206,0.987750053768155,0.0211174388688426,0.207295607942188,0.100336532041175,0.264859843457038,0.0428921909167184,0.213654245621961,0.00759869594599432,0.142245445206082
"US","none.equal","all","two.weeks",2,-8761.01019330194,5.20247017585867,0.00248337522400841,0.000182430815810311,0.000284313586328273,0.0191069478705883,0.12571182882339,0.0572556199783745,0.519895814028423,0.0633640559725318,0.388952897885281,0.604954976320584,0.023800785832437,0.436653612578552,0.953021853605688,0.95608465037035,0.0150430281952598,0.844430126703433,1.57444060195178,0.44805109198873,0.190776457238331,0.0440145931018097,0.252829803212112,0.123165582545827,0.206474615181618,0.0670935730636315,0.113371690226111,0.00227368543056047
"US","none.equal","all","two.weeks",3,-6767.14830793257,24.2849909573663,0.000181064727935661,0.00432567732393292,0.00257622110247298,0.0748467900175511,0.00185424712375154,0.884540964397987,0.303720750530973,0.451362740130475,0.0326995997098064,0.00113130827974065,0.0810724369491726,0.189871998749049,0.0700502787188858,0.809790535637129,0.993335308225117,0.585791095481056,0.838492197504021,0.999776818308834,0.156847540954231,0.146035958369904,0.103566782445708,0.130372292837348,0.169741435830725,0.19178999307196,0.0493907497270811,0.0522552467630422
"US","none.equal","all","two.weeks",4,-11095.8443619227,838.442510977515,0.191646061461419,1.72228938837783e-05,0.0206856762423008,0.00726288155786482,0.0111832084801028,0.569025461435616,0.734322822142525,0.308525851833643,0.982170982499241,0.618324641861301,0.0140912438237626,0.76050362069108,0.0192652536755854,0.949816644282714,0.000164980989185763,0.710302342266177,4.01432744213975,0.35064836494894,0.0791694656851032,0.149938991525269,0.0223884585720128,0.0667798939739879,0.132842788483864,0.158223649747332,0.190069576939814,0.200587175072618
"US","none.equal","all","two.weeks",5,-36756.165839464,0,1.09843284404332,0.00293068704860215,0.0146873401526595,0.0208562768764479,0.995101128974778,0.909139074661844,0.946203639533636,0.429273829223377,0.0195084321424309,6.63527975727187e-05,0.0219152440794672,0.323165621069935,0.596307892936749,0.50551783636452,0.63433547920089,0.275755738938974,0.89366254912793,0.287728306624902,0.167283644938879,0.0952784349733826,0.230498864535571,0.0963044058382345,0.158424184071196,0.110895053486151,0.045334501714873,0.0959809104417124
"US","none.equal","all","two.weeks",6,-7544.94243351155,19.4477110427561,1.63467247475302e-05,0.0143912409217304,0.000278769611220888,2.55517061518073e-05,0.999655319675412,0.133994767293952,0.291805630788234,0.0437525470243898,0.993648816044455,0.0110425118660921,1.18124353156807e-06,0.820323802837014,0.999857808599125,0.37684809345417,0.697632496631266,0.972468790031251,3.95781650001622,0.976809212458296,0.175694820933622,0.148601678421927,0.0407210758804871,0.142942129630695,0.00829748076489619,0.167521129347975,0.137585938200412,0.178635746819985
"US","none.equal","all","two.weeks",7,-8850.32438748407,157.941585966746,0.000321429627724639,0.00438400382693906,0.00101829916419628,0.0408142652249203,0.85754138488526,0.0318724385833498,0.615961715033714,0.0114659305489437,0.472157922523004,0.978269182546846,0.0632832226085144,0.600992162526562,0.719094128403716,0.483289315682175,0.711396808064679,0.991389605811405,1.86993489892705,0.995430783312392,0.258194151172278,0.0137668652174115,0.159803747073771,0.0260008271893803,0.11027993027876,0.0387108947987673,0.163403376619942,0.229840207649691
"US","none.equal","all","two.weeks",8,-6199.14291267707,14.7392217481265,0.0919337669668595,2.24917939802259e-05,0.00279898029082089,0.0692198532804355,0.655987000259152,0.501104805032679,0.779422846806901,0.798650906672176,0.905936446659693,0.703923040157227,0.0834233591160118,0.0728712768249787,0.303900605209999,0.328967130733769,0.854016713350579,3.96162501705218e-05,0.853866182287137,0.253809411557097,0.045709264787628,0.14724625560755,0.185343205775948,0.112327089009434,0.170613298633366,0.121270039958989,0.191337755181875,0.0261530910452108
"US","none.equal","all","two.weeks",9,-10271.1693691158,7832.93018443989,0.00240772547475247,8.60924829358086e-05,8.52147492394723e-06,0.078956556957781,0.000453498097554637,0.898305066669856,0.962245198319181,0.0109166499250314,0.883249247284164,0.95253551252977,0.0927542009969277,0.15295596997919,0.217689660544411,0.532295443623153,0.988699922881223,0.997422897619882,0.90189129648914,0.998688100223298,0.00915911159766553,0.106306971438216,0.161176738061359,0.125219965305169,0.0498039031511636,0.230526868596439,0.110934476261409,0.206871965588577
"US","none.equal","all","two.weeks",10,-6774.97773402143,20.0785844864003,0.0847047800899835,0.120023653614167,0.000432989215912405,0.00101949424875955,0.966223163835099,0.00163544899789551,0.766493501956457,0.262680160163012,0.99998337580896,0.415481671267196,0.00125705117976636,0.657796258544222,0.995073939486909,0.0735523364335126,0.994977591995696,0.000755458062439962,2.54433220372444,0.514561551457044,0.130848045469152,0.243359923410956,0.0306823014047164,0.0278335505292541,0.168144051865774,0.0957327893931547,0.204714087052338,0.0986852508746548
"US","none.equal","all","two.weeks",11,-6972.02750796371,4.8763073516954,0.026260166928844,0.000977210028244697,0.0139592265975467,0.03050059187251,0.718303315614196,0.842785961365127,0.00820513880228382,0.32331384718553,0.98954911913997,0.900341593739326,0.0993495826474989,0.895131272968749,0.937851115748314,0.955345931851214,0.798455210704175,9.85030006860156e-05,4.33737185091818,0.996615057844382,0.191327726046444,0.0470431640612369,0.0866680402636335,0.213939443704278,0.238043010184506,0.133050421577398,0.042663386862416,0.047264807300087
"US","none.equal","all","two.weeks",12,-9293.63964375255,49.5943055596859,1.90826776512122e-06,0.00102860661618662,0.000104460067748821,0.00114549339253727,0.00939592001232105,0.0215921521191219,0.481554437798437,0.984593940183922,0.192825759019925,0.0428538085750425,0.0021633829447416,0.366475531624481,0.00204109479326772,0.881328259363231,0.970333641928332,0.0159979036207486,2.16713712155414,0.61245449484767,0.0592828784229514,0.193300298915791,0.173141866109928,0.0981582809824376,0.123261373685664,0.0467883139850279,0.151768279498146,0.154298708400054
"US","none.equal","all","two.weeks",13,-9394.96188787875,9.17520854757635,0.113272487425518,0.00126934853381751,0.00072762624263349,0.0122025731873297,0.999999108892012,0.996884131400829,0.750268753671512,0.194015796151173,0.0157053520575055,0.226196985196124,0.0125849537306603,0.48746071999804,0.966636787213517,0.90268525230611,0.218125652203138,0.937835595433122,1.37584488212534,0.386842672654319,0.175349286402313,0.228438491230516,0.133446723168824,0.00328463569514433,0.289737469313675,0.0223061092358075,0.118652304438608,0.0287849805151116
